iter	Passed	Remaining
760	18087	5680
761	18134	5663
762	18157	5639
763	18196	5620
764	18229	5599
765	18252	5575
766	18271	5550
767	18297	5527
768	18318	5502
769	18350	5481
770	18373	5457
771	18404	5435
772	18445	5416
773	18471	5393
774	18490	5368
775	18512	5343
776	18536	5320
777	18562	5296
778	18597	5276
779	18622	5252
780	18656	5231
781	18673	5205
83	18149	5000
784	18173	4977
785	18203	4956
786	18225	4932
787	18251	4910
788	18274	4887
789	18298	4864
790	18328	4842
791	18351	4819
792	18368	4794
793	18393	4772
794	18421	4750
795	18440	4725
796	18464	4703
797	18490	4680
798	18509	4656
799	18527	4631
800	18543	4607
801	18561	4582
802	185803	1851803	186804	1853804	186805	1856805	186806	1863806	187807	1866807	187808	1868808	187809	1870809	187810	18733	4365
811	18753	4342
812	18776	4318
813	18806	4297
814	18822	4272
815	18846	4249
816	1886816	189817	1887817	189818	1889818	189819	1891819	19017	4174
820	19033	4149
821	19057	4126
822	19075	4102
823	19094	4078
824	19115	4054
825	19142	4032
826	19163	4008
827	19193	3987
828	19218	3964
829	19248	3942
830	19269	3918
831	19289	3895
832	19315	3872
833	19342	3849
834	19365	3826
835	19381	3802
836	19413	3780
837	19437	3757
838	19459	3734
839	19482	3710
840	19512	3689
841	19538	3666
842	19560	3643
843	19580	3619
844	19602	3595
845	19623	3572
846	19664	3552
847	19685	3528
848	19702	3504
849	19722	3480
850	19750	3458
851	19769	3434
852	19787	3410
853	19813	3387
854	19839	3364
855	19855	3340
856	19871	3315
857	19890	3291
858	19909	3268
859	19932	3244
860	19961	3222
861	19986	3199
862	20004	3175
863	20037	3153
864	20060	3130
865	20102	3110
866	20136	3088
867	20160	3065
868	20190	3043
869	20227	3022
870	20247	2998
871	20274	2976
872	20295	2952
873	20326	2930
874	20358	2908
875	20382	2885
876	20422	2864
877	20443	2840
878	20485	2819
879	20517	2797
880	20549	2775
881	20573	2752
882	20588	2727
883	20609	2704
884	20630	2680
885	20661	2658
886	20674	2633
9	2593
888	20576	2569
889	20600	2546
	2474
891	20258	2452
892	20288	2431
893	20316	2408
894	20356	2388
895	20379	2365
896	20411	2343
897	20433	2320
898	20456	2298
899	20485	2276
900	20513	2253
901	20551	2232
902	20574	2210
903	20592	2186
904	20611	2163
905	20625	2139
